monthly_income,rent,utilities,existing_emi,income_stability,affordability_index,nsf_frequency,bill_payment_latency,network_centrality,time_to_zero,time_to_zero_norm,debt_to_income,transaction_frequency,txn_freq_norm,merchant_diversity,age,loan_tenure_months,requested_amount,default
29674.0,8170.0,2578.0,1601.0,0.3727,0.5839,7,0.04,0.28,9.5,0.316,0.0539,23,0.23,14,54,18,60900.0,0
20273.0,2165.0,1909.0,792.0,0.487,0.76,3,9.1,0.18,12.3,0.41,0.039,23,0.23,9,42,18,118800.0,0
32488.0,16381.0,4889.0,2066.0,0.3581,0.2817,2,-2.22,0.24,12.8,0.4266,0.0636,21,0.21,12,26,6,255500.0,0
54930.0,18521.0,10327.0,15443.0,0.1472,0.1937,2,-7.09,0.22,8.7,0.2914,0.2811,21,0.21,11,25,18,403000.0,0
19139.0,9233.0,2904.0,4596.0,0.3925,0.1257,8,-0.5,0.22,16.0,0.5346,0.2401,25,0.25,11,36,12,83700.0,1
19140.0,2430.0,3099.0,4602.0,0.4309,0.4707,3,-3.47,0.38,1.6,0.0547,0.2404,31,0.31,19,27,6,127600.0,0
56813.0,11497.0,8956.0,18336.0,0.4658,0.3173,3,7.03,0.3,25.4,0.8476,0.3227,27,0.27,15,44,12,428900.0,0
34908.0,7565.0,2952.0,4788.0,0.3267,0.5616,3,2.24,0.18,18.3,0.6086,0.1371,27,0.27,9,54,18,207700.0,0
16619.0,4554.0,2637.0,19.0,0.4594,0.5662,2,6.65,0.14,1.7,0.0583,0.0012,18,0.18,7,31,6,49600.0,0
30502.0,14070.0,4983.0,6830.0,0.3736,0.1514,3,-0.54,0.16,14.7,0.4915,0.2239,25,0.25,8,35,6,196600.0,0
16680.0,4569.0,2013.0,5068.0,0.4907,0.3015,6,-1.49,0.24,8.1,0.2707,0.3038,21,0.21,12,31,18,45700.0,1
16657.0,3200.0,2020.0,5691.0,0.6164,0.345,11,9.51,0.34,1.0,0.0333,0.3417,29,0.29,17,25,12,116300.0,1
25468.0,3292.0,4053.0,3244.0,0.2646,0.5842,7,3.95,0.16,15.3,0.5103,0.1274,23,0.23,8,36,6,83900.0,0
